subzip_id	n_files	n_dat_files	n_pdf_files	n_txt_files	n_readable_dat	n_bad_dat	total_size_bytes	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	depth_sign	contains_transit	cruise_id_guess	status	notes
KM16-06_bathymetry_dmo	6	2	4	0	2	0	14470245	139.220761	142.263536	34.870144	36.28196	31.348	4109.73	positive	True	KM16-06	ok	
KM16-07_bathymetry_dmo	6	2	4	0	2	0	14448611	138.376018	140.002523	31.981744	35.05586	90.236	3724.884	positive	True	KM16-07	ok	
KM16-08_leg1_bathymetry_dmo	6	2	4	0	2	0	58519972	139.916103	142.656586	32.315416	34.83105	171.856	9577.06	positive	True	KM16-08	ok	
KM16-08_leg2_bathymetry_dmo	6	2	4	0	2	0	19664230	139.681158	141.816786	32.40622	34.761208	185.619	7853.393	positive	True	KM16-08	ok	
KM16-09_bathymetry_dmo	6	2	4	0	2	0	12244840	138.499936	139.784014	31.939194	35.032698	57.387	3637.797	positive	True	KM16-09	ok	
KM16-10_bathymetry_dmo	6	2	4	0	2	0	14988867	138.382399	139.900997	32.08601	35.040778	80.895	3716.888	positive	True	KM16-10	ok	
KM17-01_bathymetry_dmo	5	1	4	0	1	0	100995254	138.263275	144.329201	24.159872	34.736738	271.341	9847.757	positive	True	KM17-01	ok	
KM17-02_bathymetry_dmo	6	2	4	0	2	0	9168619	134.048032	138.654305	31.79172	33.966366	1183.855	5025.038	positive	True	KM17-02	ok	
KM17-03_bathymetry_dmo	5	1	4	0	1	0	1683582	139.189555	139.226483	34.852015	34.877194	812.357	1072.792	positive	False	KM17-03	ok	
KM17-04_bathymetry_dmo	6	2	4	0	2	0	26285780	137.796145	139.233317	32.773161	34.952173	90.816	4236.796	positive	True	KM17-04	ok	
KM17-05_leg1_bathymetry_dmo	6	2	4	0	2	0	167588516	141.501876	146.761642	35.642369	39.995012	263.814	8034.353	positive	True	KM17-05	ok	
KM17-05_leg2_bathymetry_dmo	6	2	4	0	2	0	65006585	141.350755	145.388284	37.636518	41.517927	90.747	7736.141	positive	True	KM17-05	ok	
KM17-06C_bathymetry_dmo	5	1	4	0	1	0	32477344	138.018661	140.893982	43.442288	44.169701	110.547	3726.566	positive	False	KM17-06C	ok	
KM17-07_leg1_bathymetry_dmo	6	2	4	0	2	0	123472390	142.056456	145.372837	36.643219	41.42034	464.791	7804.089	positive	True	KM17-07	ok	
KM17-07_leg2_bathymetry_dmo	6	2	4	0	2	0	84077777	139.965612	146.131443	0.0004	41.582159	440.891	7706.728	positive	True	KM17-07	ok	
KM17-08C_bathymetry_dmo	6	2	4	0	2	0	82384156	128.060104	138.630101	27.02505	34.126433	130.089	6776.067	positive	True	KM17-08C	ok	
KM17-09_bathymetry_dmo	6	2	4	0	2	0	85931111	139.567889	144.38315	27.947273	34.78824	263.784	9065.812	positive	True	KM17-09	ok	
KM17-10C_bathymetry_dmo	6	2	4	0	2	0	7666097	126.952128	130.931179	26.774778	28.71186	90.438	3227.933	positive	True	KM17-10C	ok	
KM17-11C_bathymetry_dmo	5	1	4	0	1	0	3399303	126.805299	127.028698	27.660994	27.845503	661.489	1508.804	positive	False	KM17-11C	ok	
KM17-12C_bathymetry_dmo	6	2	4	0	2	0	91059308	124.051604	139.53549	24.939538	34.709797	79.088	5705.975	positive	True	KM17-12C	ok	
KM17-13_bathymetry_dmo	6	2	4	0	2	0	7232520	138.490641	139.930935	32.441031	34.857028	98.552	3583.102	positive	True	KM17-13	ok	
KM17-14C_bathymetry_dmo	6	2	4	0	2	0	210230964	139.751705	154.634468	19.50073	34.366196	242.262	9791.22	positive	True	KM17-14C	ok	
KM17-E01_bathymetry_dmo	6	2	4	0	2	0	70976395	145.625859	154.611377	22.843924	24.939365	384.535	6821.577	positive	True	KM17-E01	ok	
KM18-01_bathymetry_dmo	6	2	4	0	2	0	136115509	129.547241	138.966235	26.416261	34.408495	347.522	5902.174	positive	True	KM18-01	ok	
KM18-02C_bathymetry_dmo	6	2	4	0	2	0	6450284	139.169008	140.111667	32.08727	33.949014	165.062	1597.327	positive	True	KM18-02C	ok	
KM18-03_bathymetry_dmo	5	1	4	0	1	0	20850779	134.014095	139.094038	31.762532	34.758608	264.449	4930.949	positive	False	KM18-03	ok	
KM18-04C_bathymetry_dmo	6	2	4	0	2	0	102685979	126.371104	138.115596	26.290007	33.898327	103.899	5782.025	positive	True	KM18-04C	ok	
KM18-05C_bathymetry_dmo	6	2	4	0	2	0	19458865	140.980836	142.822936	35.297121	40.292242	87.129	2356.365	positive	True	KM18-05C	ok	
KM18-06_bathymetry_dmo	6	2	4	0	2	0	211070142	140.244824	149.773301	34.94024	38.031312	128.782	8048.723	positive	True	KM18-06	ok	
KM18-07C_leg1_bathymetry_dmo	6	2	4	0	2	0	25039353	126.385887	137.548084	25.867174	34.017698	88.177	2131.188	positive	True	KM18-07C	ok	
KM18-07C_leg2_bathymetry_dmo	6	2	4	0	2	0	25044912	126.097489	133.328276	25.853523	32.283841	79.184	2039.491	positive	True	KM18-07C	ok	
KM18-08C_bathymetry_dmo	6	2	4	0	2	0	100876558	127.040033	139.697295	26.30274	35.036258	55.557	5753.748	positive	True	KM18-08C	ok	
KM18-09_bathymetry_dmo	5	1	4	0	1	0	10747632	136.861124	139.642804	33.354814	35.026131	67.977	3731.972	positive	True	KM18-09	ok	
KM18-10_leg1_bathymetry_dmo	6	2	4	0	2	0	57710519	135.016464	138.775927	31.932674	34.31176	163.076	4822.96	positive	True	KM18-10	ok	
KM18-10_leg2_bathymetry_dmo	6	2	4	0	2	0	52036986	134.860476	138.214797	32.373766	34.176974	263.615	4862.281	positive	True	KM18-10	ok	
KM19-01_bathymetry	4	0	4	0	0	0	2233497								False		ok	
KM19-02_bathymetry_dmo	6	2	4	0	2	0	41277683	132.473633	142.104795	32.501753	35.014171	74.731	10455.957	positive	True	KM19-02	ok	
KM19-03_bathymetry_dmo	6	2	4	0	2	0	97647046	141.6471	144.946969	35.882425	40.022875	307.495	7929.415	positive	True	KM19-03	ok	
KM19-05C_bathymetry_dmo	5	1	4	0	1	0	2742370	142.29998	142.480134	38.992577	39.481019	547.49	1153.646	positive	False	KM19-05C	ok	
KM19-06_bathymetry	4	0	4	0	0	0	2250956								False		ok	
KM19-07_bathymetry_dmo	6	2	4	0	2	0	50688582	139.355636	142.882571	34.117764	36.162687	91.207	9315.492	positive	True	KM19-07	ok	
KM19-09_bathymetry_dmo	6	2	4	0	2	0	33257623	134.256934	139.590741	32.064218	35.030477	240.333	4872.893	positive	True	KM19-09	ok	
KM19-E01_bathymetry_dmo	6	2	4	0	2	0	58245977	128.147821	138.658987	28.013632	34.200756	108.611	4967.608	positive	True	KM19-E01	ok	
KM19-MSB-E01C_bathymetry_dmo	6	2	4	0	2	0	43428794	139.674381	142.992629	31.785114	35.031492	79.214	9556.948	positive	True	KM19-MSB-E01C	ok	
KM20-01_bathymetry_dmo	6	2	4	0	2	0	17831337	136.833616	139.809106	32.628151	35.018606	178.299	4428.053	positive	True	KM20-01	ok	
KM20-02_leg1_bathymetry_dmo	6	2	4	0	2	0	52597615	133.981369	144.3368	32.765147	39.118804	135.73	7739.341	positive	True	KM20-02	ok	
KM20-02_leg2_bathymetry_dmo	6	2	4	0	2	0	66790127	139.297541	144.543546	30.602579	34.918253	91.299	9765.606	positive	True	KM20-02	ok	
KM20-02_leg3_bathymetry_dmo	6	2	4	0	2	0	2081051	139.344778	139.686601	34.966302	35.059741	90.455	1506.15	positive	True	KM20-02	ok	
KM20-05_bathymetry_dmo	6	2	4	0	2	0	109113557	131.378991	139.604269	30.327998	34.866542	90.674	5006.691	positive	True	KM20-05	ok	
KM20-08_bathymetry_dmo	5	1	4	0	1	0	95514410	139.52778	144.247526	30.932299	35.079267	75.429	10096.09	positive	False	KM20-08	ok	
KM20-09_bathymetry_dmo	6	2	4	0	2	0	4551610	138.355085	139.634741	34.526693	35.051423	74.059	2406.334	positive	True	KM20-09	ok	
KM20-10C_leg1_bathymetry_dmo	6	2	4	0	2	0	20190674	138.354056	139.696384	30.605343	35.040298	74.408	3709.102	positive	True	KM20-10C	ok	
KM20-11_bathymetry_dmo	6	2	4	0	2	0	19769589	139.475032	142.040289	26.954348	34.783188	150.285	4066.991	positive	True	KM20-11	ok	
KM20-E01C_bathymetry_dmo	6	2	4	0	2	0	36821277	138.096703	144.137982	34.01658	38.320428	57.537	7957.038	positive	True	KM20-E01C	ok	
KM20-E02_bathymetry_dmo	6	2	4	0	2	0	99179677	140.021893	147.000373	34.861068	42.593897	48.189	7859.606	positive	True	KM20-E02	ok	
KM21-01_bathymetry_dmo	6	2	4	0	2	0	31850975	133.685923	142.2313	32.906926	35.004408	49.6	9479.679	positive	True	KM21-01	ok	
KM21-04_bathymetry_dmo	6	2	4	0	2	0	129115327	139.672893	146.09713	34.75632	42.529193	50.731	7689.761	positive	True	KM21-04	ok	
KM21-05_bathymetry_dmo	6	2	4	0	2	0	49628239	129.468911	139.107814	30.388168	34.699625	48.746	8812.438	positive	True	KM21-05	ok	
KM21-07_leg1_bathymetry_dmo	6	2	4	0	2	0	27846300	131.752465	138.715803	30.826927	34.435737	186.426	4984.519	positive	True	KM21-07	ok	
KM21-07_leg2_bathymetry_dmo	6	2	4	0	2	0	55207070	131.797388	137.370734	30.793608	33.848446	709.347	4934.828	positive	True	KM21-07	ok	
KM21-11_bathymetry_dmo	6	2	4	0	2	0	16934829	134.989407	139.311483	32.854607	35.026123	191.65	3692.455	positive	True	KM21-11	ok	
KM21-12_bathymetry_dmo	6	2	4	0	2	0	16441588	135.031852	138.561195	32.846042	34.562833	91.427	4230.802	positive	True	KM21-12	ok	
KM21-13C_bathymetry_dmo	6	2	4	0	2	0	17105235	134.494641	137.812316	32.729686	34.035752	998.546	4491.152	positive	True	KM21-13C	ok	
KM21-E01_bathymetry_dmo	5	1	4	0	1	0	14858121	136.187202	139.736339	33.36029	35.054674	70.698	3698.99	positive	True	KM21-E01	ok	
KM21-E03_bathymetry_dmo	5	1	4	0	1	0	10775709	139.897789	141.592705	34.075568	34.827586	160.902	7454.866	positive	True	KM21-E03	ok	
KM21-E04C_leg1_bathymetry_dmo	6	2	4	0	2	0	17128945	138.526893	139.695223	29.158892	34.01568	191.602	3757.682	positive	True	KM21-E04C	ok	
KM22-01_bathymetry_dmo	6	2	4	0	2	0	15304735	129.992144	138.12796	30.553176	34.352231	82.529	2262.309	positive	True	KM22-01	ok	
KM22-02_bathymetry_dmo	6	2	4	0	2	0	94851386	126.406727	138.536131	24.407203	34.504254	62.143	7480.127	positive	True	KM22-02	ok	
KM22-05_bathymetry_dmo	6	2	4	0	2	0	63225344	141.370051	145.215844	36.655328	41.775129	182.482	7658.846	positive	True	KM22-05	ok	
KM22-06_bathymetry_dmo	6	2	4	0	2	0	14161488	133.307873	138.958029	32.611306	34.696191	228.803	3723.375	positive	True	KM22-06	ok	
KM22-07_bathymetry_dmo	6	2	4	0	2	0	110812827	140.968875	146.652024	36.465748	42.518813	85.165	7588.254	positive	True	KM22-07	ok	
KM22-10_bathymetry_dmo	6	2	4	0	2	0	81168260	135.05649	139.179398	32.355398	34.745596	62.194	4656.974	positive	True	KM22-10	ok	
KR01-07_bathymetry_dmo	8	4	4	0	4	0	31253991	134.306394	135.245388	32.169336	33.468148	286.97	4931.7	positive	False	KR01-07	ok	
KR01-11_bathymetry_dmo	18	14	4	0	14	0	190160607	-179.743075	179.963948	28.46604	42.289445	151.48	8783.4	positive	False	KR01-11	ok	
KR01-12_leg2_bathymetry_dmo	21	17	4	0	17	0	178739732	-157.900839	-154.02397	16.941274	21.492216	100.4	8557.6	positive	False	KR01-12	ok	
KR01-15_bathymetry_dmo	7	3	4	0	3	0	40136951	139.799646	140.936941	28.441807	32.153236	452.0	3668.0	positive	False	KR01-15	ok	
KR02-01_bathymetry_dmo	20	16	4	0	16	0	154329812	142.235662	145.045886	18.503697	26.670136	580.4	11650.0	positive	False	KR02-01	ok	
KR02-03_bathymetry_dmo	9	5	4	0	5	0	80680399	131.38059	135.685792	18.652446	22.706408	4458.9	6336.4	positive	False	KR02-03	ok	
KR02-06_bathymetry_dmo	14	10	4	0	10	0	353450672	132.051849	144.111061	31.765986	42.449119	78.845	4858.526	positive	True	KR02-06	ok	
KR02-07_leg1_bathymetry_dmo	8	4	4	0	4	0	42569847	142.138397	145.164585	39.748133	42.659585	143.77	5603.2	positive	False	KR02-07	ok	
KR02-07_leg2_bathymetry_dmo	9	5	4	0	5	0	121900264	142.21358	143.769147	38.436731	39.772482	236.4	5682.6	positive	False	KR02-07	ok	
KR02-08_leg1_bathymetry_dmo	10	6	4	0	6	0	110771874	142.691145	143.553336	38.215636	39.196905	1244.5	3159.9	positive	False	KR02-08	ok	
KR02-08_leg2_bathymetry_dmo	8	4	4	0	4	0	25971070	158.530946	160.436316	40.358476	41.545631	4957.9	8503.1	positive	False	KR02-08	ok	
KR02-09_bathymetry_dmo	12	8	4	0	8	0	36252918	142.402702	145.299107	35.808511	40.119762	3414.5	8289.1	positive	False	KR02-09	ok	
KR02-10_bathymetry_dmo	7	3	4	0	3	0	15233620	134.927909	137.50194	32.300441	32.937809	3857.8	5113.2	positive	False	KR02-10	ok	
KR02-12_bathymetry_dmo	11	7	4	0	7	0	39355598	134.560338	137.067928	18.62072	25.802995	2914.0	8065.8	positive	False	KR02-12	ok	
KR02-13_bathymetry_dmo	15	11	4	0	11	0	95156895	140.903353	143.965422	9.94585	12.532715	2621.5	10000.0	positive	False	KR02-13	ok	
KR02-14_bathymetry_dmo	15	11	4	0	11	0	150500777	141.33932	148.846175	13.982041	22.001683	879.2	9925.0	positive	False	KR02-14	ok	
KR02-15_bathymetry_dmo	13	9	4	0	9	0	22935054	140.514125	153.926119	33.838438	40.485638	325.02	6284.6	positive	False	KR02-15	ok	
KR02-16_bathymetry_dmo	17	13	4	0	13	0	329603983	138.490465	140.990761	30.261403	32.508831	67.2	9528.0	positive	False	KR02-16	ok	
KR03-01_bathymetry_dmo	17	13	4	0	13	0	125308204	136.853844	139.967182	15.084524	20.849167	1693.4	9522.1	positive	False	KR03-01	ok	
KR03-04_leg1_bathymetry_dmo	14	10	4	0	10	0	115991584	124.265392	129.359687	20.771632	26.114402	1426.0	9222.0	positive	False	KR03-04	ok	
KR03-04_leg2_bathymetry_dmo	7	3	4	0	3	0	33533528	134.99646	136.313732	18.616811	19.559415	2839.0	5946.5	positive	False	KR03-04	ok	
KR03-05_leg1_bathymetry_dmo	6	2	4	0	2	0	10657567	135.971545	136.857666	32.395885	32.704515	3958.9	4806.7	positive	False	KR03-05	ok	
KR03-05_leg2_bathymetry_dmo	6	2	4	0	2	0	16714177	134.41842	135.779262	31.995179	32.964884	2564.3	5152.1	positive	False	KR03-05	ok	
KR03-07_bathymetry_dmo	15	11	4	0	11	0	120401777	144.10183	150.592247	36.927024	39.91199	2076.8	9178.5	positive	False	KR03-07	ok	
KR03-08_bathymetry_dmo	7	3	4	0	3	0	6008190	145.951415	160.129444	39.934897	41.185795	4909.3	6931.9	positive	False	KR03-08	ok	
KR03-10_bathymetry_dmo	20	16	4	0	16	0	282942574	-179.712021	179.87554	34.798185	49.90146	82.27	9898.9	positive	False	KR03-10	ok	
KR03-12_bathymetry_dmo	18	14	4	0	14	0	172330628	144.446562	145.22211	16.494068	18.507997	76.0	10000.0	positive	False	KR03-12	ok	
KR03-13_bathymetry_dmo	20	16	4	0	16	0	242457361	142.531697	145.505875	12.431007	23.001327	935.8	8853.1	positive	False	KR03-13	ok	
KR04-01_bathymetry_dmo	18	14	4	0	14	0	439415196	139.067339	139.870289	32.924701	34.679663	35.24	6081.6	positive	False	KR04-01	ok	
KR04-04_bathymetry_dmo	17	13	4	0	13	0	382571342	138.636883	140.283908	29.942682	34.361055	70.97	8900.8	positive	False	KR04-04	ok	
KR04-05_bathymetry_dmo	8	4	4	0	4	0	70574348	135.988803	139.61351	32.347239	35.038848	128.36	4748.7	positive	False	KR04-05	ok	
KR04-07_bathymetry_dmo	10	6	4	0	6	0	89889073	139.206846	139.530449	34.905998	35.207604	402.12	2294.2	positive	False	KR04-07	ok	
KR04-08_bathymetry_dmo	18	14	4	0	14	0	161057885	141.841079	152.984497	35.070276	39.554849	1307.2	8589.3	positive	False	KR04-08	ok	
KR04-09_bathymetry_dmo	10	6	4	0	6	0	68263206	138.404487	144.363111	34.117392	40.151611	1945.2	9726.3	positive	False	KR04-09	ok	
KR04-10_leg2_bathymetry_dmo	11	7	4	0	7	0	76629706	140.495715	143.447329	27.363334	34.297104	163.91	10562.7	positive	False	KR04-10	ok	
KR04-11_bathymetry_dmo	10	6	4	0	6	0	111368102	141.786207	142.542044	26.795211	28.004765	98.9	11679.0	positive	False	KR04-11	ok	
KR04-12_bathymetry_dmo	5	1	4	0	1	0	5236095	139.325286	139.621562	34.989602	35.080118	148.24	1531.9	positive	False	KR04-12	ok	
KR04-13_leg2_bathymetry_dmo	8	4	4	0	4	0	212970582	139.295528	140.087933	31.101455	34.518829	18.01	1800.0	positive	False	KR04-13	ok	
KR04-14_leg1_bathymetry_dmo	21	17	4	0	17	0	152922114	125.51829	128.872632	17.947002	24.582833	2354.4	8272.7	positive	False	KR04-14	ok	
KR04-14_leg2_bathymetry_dmo	7	3	4	0	3	0	31702263	134.805482	136.021536	18.361976	20.219506	433.3	8523.6	positive	False	KR04-14	ok	
KR04-15_bathymetry_dmo	19	15	4	0	15	0	231545595	133.620935	144.925767	26.46131	33.765885	169.62	9598.7	positive	False	KR04-15	ok	
KR05-01_bathymetry_dmo	18	14	4	0	14	0	333807031	145.531737	157.286216	-4.441516	25.041688	1145.8	10281.0	positive	False	KR05-01	ok	
KR05-03_leg1_bathymetry_dmo	8	4	4	0	4	0	12056201	126.986994	128.137923	23.936551	25.770221	2025.6	8070.7	positive	False	KR05-03	ok	
KR05-03_leg2_bathymetry_dmo	5	1	4	0	1	0	2440779	128.170508	128.240795	25.908798	25.980456	2026.9	2202.7	positive	False	KR05-03	ok	
KR05-04_bathymetry_dmo	24	20	4	0	20	0	372400042	139.618788	146.711748	34.779051	42.741751	81.81	9142.7	positive	False	KR05-04	ok	
KR05-05_bathymetry_dmo	12	8	4	0	8	0	131724786	132.771552	139.659488	25.388396	35.050762	79.45	11869.0	positive	False	KR05-05	ok	
KR05-06_bathymetry_dmo	23	19	4	0	19	0	416718205	135.572499	141.99024	21.033611	31.53681	51.7	10077.7	positive	False	KR05-06	ok	
KR05-07_bathymetry_dmo	10	6	4	0	6	0	135658981	142.508024	144.102334	37.904916	38.594222	1040.7	7713.0	positive	False	KR05-07	ok	
KR05-08_bathymetry_dmo	8	4	4	0	4	0	35221474	144.099332	160.480701	38.45041	41.560712	5199.1	7754.4	positive	False	KR05-08	ok	
KR05-09_bathymetry_dmo	8	4	4	0	4	0	32684623	137.667391	139.245736	41.589337	43.937202	1559.0	4292.9	positive	False	KR05-09	ok	
KR05-10_bathymetry_dmo	14	10	4	0	10	0	198881564	139.700439	152.956946	34.838437	41.521017	70.75	9400.0	positive	False	KR05-10	ok	
KR05-11_bathymetry_dmo	10	6	4	0	6	0	220737336	139.559647	140.136819	31.675472	32.202049	55.59	1775.9	positive	False	KR05-11	ok	
KR05-13_bathymetry_dmo	8	4	4	0	4	0	81208737	134.487609	138.161039	32.263729	34.28537	163.01	11735.0	positive	False	KR05-13	ok	
KR05-14_bathymetry_dmo	22	18	4	0	18	0	289444461	126.922581	150.67724	15.681059	30.732536	759.4	10734.0	positive	False	KR05-14	ok	
KR05-15_bathymetry_dmo	11	7	4	0	7	0	136601444	135.417265	140.29648	-0.414871	3.023531	2475.6	4984.1	positive	False	KR05-15	ok	
KR05-16_bathymetry_dmo	24	20	4	0	20	0	395176002	134.180867	145.080218	20.625337	32.079622	164.3	11008.7	positive	False	KR05-16	ok	
KR05-17_bathymetry_dmo	14	10	4	0	10	0	143654078	142.653477	150.427903	17.259358	20.015223	823.7	11699.0	positive	False	KR05-17	ok	
KR06-01_bathymetry_dmo	15	11	4	0	11	0	194892546	139.208164	142.820887	21.010372	24.785084	394.8	10958.7	positive	False	KR06-01	ok	
KR06-03_bathymetry_dmo	15	11	4	0	11	0	93764305	141.977096	151.417322	35.676533	40.61122	2415.0	8923.6	positive	False	KR06-03	ok	
KR06-05_bathymetry_dmo	17	13	4	0	13	0	349731633	137.245626	139.383472	27.125513	32.30102	163.68	5891.1	positive	False	KR06-05	ok	
KR06-06_bathymetry_dmo	9	5	4	0	5	0	50754546	134.250496	136.746714	18.442146	32.999735	2222.3	6164.9	positive	False	KR06-06	ok	
KR06-07_bathymetry_dmo	22	18	4	0	18	0	612280567	136.727767	143.485074	24.008478	29.683845	182.97	10081.7	positive	False	KR06-07	ok	
KR06-09_bathymetry_dmo	8	4	4	0	4	0	17446625	142.297127	144.571728	32.570516	34.425186	2904.4	8279.1	positive	False	KR06-09	ok	
KR06-12_bathymetry_dmo	6	2	4	0	2	0	18446211	143.076031	149.452504	16.014849	20.025764	1673.1	5685.2	positive	False	KR06-12	ok	
KR06-13_bathymetry_dmo	14	10	4	0	10	0	231846663	136.920391	142.258365	20.862103	29.990029	189.03	7684.5	positive	False	KR06-13	ok	
KR06-14_bathymetry_dmo	25	21	4	0	21	0	332268345	126.945873	150.668089	18.749457	34.813767	66.06	11607.0	positive	False	KR06-14	ok	
KR06-15_leg1_bathymetry_dmo	19	15	4	0	15	0	173396800	139.879178	147.811535	12.972859	34.440999	316.66	11895.0	positive	False	KR06-15	ok	
KR06-16_bathymetry_dmo	12	8	4	0	8	0	119176065	147.934861	151.795847	-0.222287	5.267767	1877.7	7976.1	positive	False	KR06-16	ok	
KR07-03_bathymetry_dmo	22	18	4	0	18	0	485126827	138.001643	145.260181	24.009342	34.458391	168.61	9359.7	positive	False	KR07-03	ok	
KR07-05_bathymetry_dmo	15	11	4	0	11	0	360693710	141.136113	144.293982	35.713471	40.518304	151.31	8187.4	positive	False	KR07-05	ok	
KR07-06_bathymetry_dmo	27	23	4	0	23	0	210145814	141.122325	155.043	33.37379	40.056463	905.2	8484.7	positive	False	KR07-06	ok	
KR07-07_bathymetry_dmo	10	6	4	0	6	0	65298455	142.789059	145.423538	37.594519	38.789145	1416.5	7768.0	positive	False	KR07-07	ok	
KR07-08_bathymetry_dmo	11	7	4	0	7	0	110371820	141.899866	160.044548	37.039026	42.073459	694.0	7842.9	positive	False	KR07-08	ok	
KR07-09_bathymetry_dmo	29	25	4	0	25	0	587813121	134.357332	143.615866	27.827227	34.411016	261.88	9935.7	positive	False	KR07-09	ok	
KR07-12_bathymetry_dmo	15	11	4	0	11	0	248273939	128.721432	135.077969	31.225733	39.612088	97.2	5773.4	positive	False	KR07-12	ok	
KR07-13_bathymetry_dmo	23	19	4	0	19	0	395705956	136.60872	143.5526	27.473914	29.488911	1499.5	10250.7	positive	False	KR07-13	ok	
KR07-14_bathymetry_dmo	6	2	4	0	2	0	12297024	143.350882	144.378763	39.053201	40.167382	2484.5	7714.7	positive	False	KR07-14	ok	
KR07-15_bathymetry_dmo	6	2	4	0	2	0	63173231	136.296125	136.938329	33.270838	33.712639	1690.0	2387.2	positive	False	KR07-15	ok	
KR08-02_bathymetry_dmo	6	2	4	0	2	0	16491176	135.255407	135.660627	32.306672	32.799921	2933.7	5190.0	positive	False	KR08-02	ok	
KR08-03_leg2_bathymetry_dmo	7	3	4	0	3	0	4254397	136.630711	141.924451	33.249595	34.356688	1975.8	8577.0	positive	False	KR08-03	ok	
KR08-04_bathymetry_dmo	15	11	4	0	11	0	335642721	138.492016	141.47136	31.332988	35.48479	242.4	4167.8	positive	False	KR08-04	ok	
KR08-05_leg1_bathymetry_dmo	6	2	4	0	2	0	4194230	142.578853	142.827425	11.281162	11.458666	8699.0	11046.0	positive	False	KR08-05	ok	
